GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Workspace Maven Plugin,network.ike.plugin.ws,GraphWorkspaceMojo,33,561,12,42,4,103,11,25,0,9
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSwitchDraftMojo,392,659,51,63,90,147,41,28,3,9
IKE Workspace Maven Plugin,network.ike.plugin.ws,WorkspaceReport,176,100,35,9,44,31,22,10,2,8
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsVersionsUpgradePublishMojo.NodeOutcome,12,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,IdeProfileSync,200,189,33,33,58,37,21,17,2,3
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSwitchPublishMojo,9,0,0,0,4,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,AbstractWorkspaceMojo,222,240,31,15,58,55,23,24,4,20
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartSupport,375,670,45,65,72,149,38,25,0,8
IKE Workspace Maven Plugin,network.ike.plugin.ws,RefreshMainSupport.UpToDate,6,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsLintMojo,120,0,4,0,27,0,4,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCascadeFoundationPublishMojo,842,225,84,22,176,48,55,15,9,7
IKE Workspace Maven Plugin,network.ike.plugin.ws,SubprojectSnapshot,0,21,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,VerifyConvergenceMojo,532,345,62,20,122,70,39,8,1,5
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsHelpMojo,358,0,36,0,74,0,26,0,8,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartPublishMojo,49,0,0,0,15,0,3,0,3,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartDraftMojo,234,1135,35,97,54,222,30,43,0,7
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartDraftMojo.BranchRow,0,15,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,PomParentSupport,33,29,2,4,10,7,4,4,3,2
IKE Workspace Maven Plugin,network.ike.plugin.ws,CommitMojo,441,123,53,15,104,29,31,10,3,4
IKE Workspace Maven Plugin,network.ike.plugin.ws,PullWorkspaceMojo,203,0,8,0,48,0,6,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsGoal,14,497,3,5,4,63,4,11,1,10
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReactorWalker.ReactorScan,0,9,0,0,0,3,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,RefreshMainSupport.AutoResolved,12,0,0,0,1,0,1,0,1,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureFinishSupport,635,840,94,70,148,175,64,38,3,17
IKE Workspace Maven Plugin,network.ike.plugin.ws,CommitMojo.CommitOutcome,48,0,0,0,5,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsVersionsUpgradeDraftMojo,1518,0,150,0,340,0,103,0,24,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureFinishMergeDraftMojo,184,550,39,39,35,114,34,10,0,5
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReleaseStatusMojo,135,444,22,27,27,91,17,19,0,10
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReleasePlanCompute,39,520,18,74,8,115,17,33,0,4
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCheckpointDraftMojo.CheckpointReportContext,0,45,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAlignPublishMojo,14,0,0,0,5,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReleasePlan.ReferenceKind,0,21,0,0,0,4,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReleaseDraftMojo.ReleaseCandidate,0,18,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReleasePlan.ReferenceSite,0,15,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,Ansi,0,12,0,0,0,4,0,4,0,4
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReconcileBranchesPublishMojo,9,0,0,0,4,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,ReportMojo,123,0,14,0,31,0,13,0,6,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAddMojo.DerivedDep,0,9,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSyncMojo,142,0,14,0,33,0,9,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsAddMojo,1767,786,237,111,387,201,154,58,19,19
IKE Workspace Maven Plugin,network.ike.plugin.ws,CheckBranchMojo,649,0,84,0,140,0,47,0,5,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureFinishMergePublishMojo,14,0,0,0,5,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,StignoreWorkspaceMojo,9,282,1,3,2,36,1,8,0,7
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureAbandonDraftMojo,1130,0,116,0,228,0,65,0,7,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,PostMutationSync,0,7,0,0,0,3,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCascadeFoundationPublishMojo.OutcomeKind,0,27,0,0,0,1,0,1,0,1
