GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IKE Workspace Maven Plugin,network.ike.plugin.ws,GraphWorkspaceMojo,20,278,11,23,2,46,10,12,0,5
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSwitchDraftMojo,430,851,61,95,93,190,50,41,3,10
IKE Workspace Maven Plugin,network.ike.plugin.ws,WorkspaceReport,80,171,20,18,21,46,15,13,1,8
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsSwitchPublishMojo,9,0,0,0,3,0,2,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,AbstractWorkspaceMojo,93,235,18,14,29,53,17,21,5,17
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartSupport,375,670,45,65,72,149,38,25,0,8
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsCommitDraftMojo,432,0,38,0,94,0,26,0,7,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,RefreshMainSupport.UpToDate,0,6,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsLintMojo,111,0,4,0,25,0,4,0,2,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,SubprojectSnapshot,0,21,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,VerifyConvergenceMojo,550,340,64,20,125,64,40,8,1,5
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsHelpMojo,416,0,38,0,83,0,27,0,8,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartPublishMojo,49,0,0,0,14,0,3,0,3,0
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartDraftMojo,243,1283,39,121,56,243,34,54,0,8
IKE Workspace Maven Plugin,network.ike.plugin.ws,FeatureStartDraftMojo.BranchRow,0,15,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,PomParentSupport,33,29,2,4,10,7,4,4,3,2
IKE Workspace Maven Plugin,network.ike.plugin.ws,WsReconcileBranchesDraftMojo.BranchChanges,0,9,0,0,0,1,0,1,0,1
IKE Workspace Maven Plugin,network.ike.plugin.ws,PullWorkspaceMojo,210,653,24,58,44,127,22,38,1,16
